form	wsafter	testid	anas	lemma	xpostag	prev	previd	prevold	prevclosest
a	" "	.	[{"lemma": "a", "tag": "[/Det|Art.Def]", "morphana": "a[/Det|Art.Def]=a", "readable": "a[/Det|Art.Def]", "twolevel": "a:a :[/Det|Art.Def]"}, {"lemma": "a", "tag": "[/Det|Pro|(Post)]", "morphana": "a[/Det|Pro|(Post)]=a", "readable": "a[/Det|Pro|(Post)]", "twolevel": "a:a :[/Det|Pro|(Post)]"}, {"lemma": "a", "tag": "[/N][Nom]", "morphana": "a[/N|Ltr]=a+[Nom]=", "readable": "a[/N|Ltr] + [Nom]", "twolevel": "a:a :[/N|Ltr] :[Nom]"}, {"lemma": "a", "tag": "[/N|Pro|(Post)][Nom]", "morphana": "a[/N|Pro|(Post)]=a+[Nom]=", "readable": "a[/N|Pro|(Post)] + [Nom]", "twolevel": "a:a :[/N|Pro|(Post)] :[Nom]"}]	a	[/Det|Art.Def]			.	.
kérdés	" "	.	[{"lemma": "kérdés", "tag": "[/N][Nom]", "morphana": "kérd[/V]=kérd+és[_Ger/N]=és+[Nom]=", "readable": "kérd[/V] + és[_Ger/N] + [Nom]", "twolevel": "k:k é:é r:r d:d :[/V] é:é s:s :[_Ger/N] :[Nom]"}, {"lemma": "kérdés", "tag": "[/N][Nom]", "morphana": "kérdés[/N]=kérdés+[Nom]=", "readable": "kérdés[/N] + [Nom]", "twolevel": "k:k é:é r:r d:d é:é s:s :[/N] :[Nom]"}]	kérdés	[/N][Nom]			.	.
eldöntését	" "	.	[{"lemma": "eldöntés", "tag": "[/N][Poss.3Sg][Acc]", "morphana": "el[/Prev]=el+dönt[/V]=dönt+és[_Ger/N]=és+e[Poss.3Sg]=é+t[Acc]=t", "readable": "el[/Prev] + dönt[/V] + és[_Ger/N] + e[Poss.3Sg]=é + t[Acc]", "twolevel": "e:e l:l :[/Prev] d:d ö:ö n:n t:t :[/V] é:é s:s :[_Ger/N] é:e :[Poss.3Sg] t:t :[Acc]"}, {"lemma": "eldöntés", "tag": "[/N][AnP][Acc]", "morphana": "el[/Prev]=el+dönt[/V]=dönt+és[_Ger/N]=és+é[AnP]=é+t[Acc]=t", "readable": "el[/Prev] + dönt[/V] + és[_Ger/N] + é[AnP] + t[Acc]", "twolevel": "e:e l:l :[/Prev] d:d ö:ö n:n t:t :[/V] é:é s:s :[_Ger/N] é:é :[AnP] t:t :[Acc]"}]	eldöntés	[/N][Poss.3Sg][Acc]			.	.
lehetővé	" "	.	[{"lemma": "lehető", "tag": "[/Adj][Transl]", "morphana": "lesz[/V]=le+hető[_ModPtcp/Adj]=hető+vé[Transl]=vé", "readable": "lesz[/V]=le + hető[_ModPtcp/Adj] + vé[Transl]", "twolevel": "l:l e:e :s :z :[/V] h:h e:e t:t ő:ő :[_ModPtcp/Adj] v:v é:é :[Transl]"}, {"lemma": "lehető", "tag": "[/Adj][Transl]", "morphana": "lehető[/Adj]=lehető+vé[Transl]=vé", "readable": "lehető[/Adj] + vé[Transl]", "twolevel": "l:l e:e h:h e:e t:t ő:ő :[/Adj] v:v é:é :[Transl]"}, {"lemma": "lehető", "tag": "[/Adj][Transl]", "morphana": "van[/V]=le+hető[_ModPtcp/Adj]=hető+vé[Transl]=vé", "readable": "van[/V]=le + hető[_ModPtcp/Adj] + vé[Transl]", "twolevel": "l:v e:a :n :[/V] h:h e:e t:t ő:ő :[_ModPtcp/Adj] v:v é:é :[Transl]"}]	lehető	[/Adj][Transl]			.	.
tevő	""	.	[{"lemma": "tevő", "tag": "[/Adj][Nom]", "morphana": "tesz[/V]=tev+ő[_ImpfPtcp/Adj]=ő+[Nom]=", "readable": "tesz[/V]=tev + ő[_ImpfPtcp/Adj] + [Nom]", "twolevel": "t:t e:e v:s :z :[/V] ő:ő :[_ImpfPtcp/Adj] :[Nom]"}, {"lemma": "tevő", "tag": "[/N][Nom]", "morphana": "tevő[/N]=tevő+[Nom]=", "readable": "tevő[/N] + [Nom]", "twolevel": "t:t e:e v:v ő:ő :[/N] :[Nom]"}]	tevő	[/Adj][Nom]			.	.
,	" "	.	[{"lemma": ",", "tag": "[Punct]", "morphana": "", "readable": "", "twolevel": ""}]	,	[Punct]			.	.
objektív	" "	.	[{"lemma": "objektív", "tag": "[/Adj][Nom]", "morphana": "objektív[/Adj]=objektív+[Nom]=", "readable": "objektív[/Adj] + [Nom]", "twolevel": "o:o b:b j:j e:e k:k t:t í:í v:v :[/Adj] :[Nom]"}, {"lemma": "objektív", "tag": "[/N][Nom]", "morphana": "objektív[/N]=objektív+[Nom]=", "readable": "objektív[/N] + [Nom]", "twolevel": "o:o b:b j:j e:e k:k t:t í:í v:v :[/N] :[Nom]"}]	objektív	[/Adj][Nom]			.	.
szempontok	""	.	[{"lemma": "szempont", "tag": "[/N][Pl][Nom]", "morphana": "szem[/N]=szem+pont[/N]=pont+ok[Pl]=ok+[Nom]=", "readable": "szem[/N] + pont[/N] + ok[Pl] + [Nom]", "twolevel": "s:s z:z e:e m:m :[/N] p:p o:o n:n t:t :[/N] o:o k:k :[Pl] :[Nom]"}, {"lemma": "szempont", "tag": "[/N][Pl][Nom]", "morphana": "szempont[/N]=szempont+ok[Pl]=ok+[Nom]=", "readable": "szempont[/N] + ok[Pl] + [Nom]", "twolevel": "s:s z:z e:e m:m p:p o:o n:n t:t :[/N] o:o k:k :[Pl] :[Nom]"}]	szempont	[/N][Pl][Nom]			.	.
!	"\n"	.	[{"lemma": "!", "tag": "[Punct]", "morphana": "", "readable": "", "twolevel": ""}]	!	[Punct]			.	.

És	" "	.	[{"lemma": "és", "tag": "[/Cnj]", "morphana": "és[/Cnj]=és", "readable": "és[/Cnj]", "twolevel": "é:é s:s :[/Cnj]"}]	és	[/Cnj]			.	.
könyörgöm	""	.	[{"lemma": "könyörög", "tag": "[/V][Prs.Def.1Sg]", "morphana": "könyörög[/V]=könyörg+öm[Prs.Def.1Sg]=öm", "readable": "könyörög[/V]=könyörg + öm[Prs.Def.1Sg]", "twolevel": "k:k ö:ö n:n y:y ö:ö r:r g:ö :g :[/V] ö:ö m:m :[Prs.Def.1Sg]"}]	könyörög	[/V][Prs.Def.1Sg]			.	.
:	" "	.	[{"lemma": ":", "tag": "[Punct]", "morphana": "", "readable": "", "twolevel": ""}]	:	[Punct]			.	.
mondja	" "	v2	[{"lemma": "mond", "tag": "[/V][Prs.Def.3Sg]", "morphana": "mond[/V]=mond+ja[Prs.Def.3Sg]=ja", "readable": "mond[/V] + ja[Prs.Def.3Sg]", "twolevel": "m:m o:o n:n d:d :[/V] j:j a:a :[Prs.Def.3Sg]"}, {"lemma": "mond", "tag": "[/V][Sbjv.Def.3Sg]", "morphana": "mond[/V]=mond+ja[Sbjv.Def.3Sg]=ja", "readable": "mond[/V] + ja[Sbjv.Def.3Sg]", "twolevel": "m:m o:o n:n d:d :[/V] j:j a:a :[Sbjv.Def.3Sg]"}]	megmond	[/Prev][/V][Sbjv.Def.3Sg]	sep	2	1	1
már	" "	.	[{"lemma": "már", "tag": "[/Adv]", "morphana": "már[/Adv]=már", "readable": "már[/Adv]", "twolevel": "m:m á:á r:r :[/Adv]"}]	már	[/Adv]			.	.
meg	" "	p2	[{"lemma": "meg", "tag": "[/Cnj]", "morphana": "meg[/Cnj]=meg", "readable": "meg[/Cnj]", "twolevel": "m:m e:e g:g :[/Cnj]"}, {"lemma": "meg", "tag": "[/Prev]", "morphana": "meg[/Prev]=meg", "readable": "meg[/Prev]", "twolevel": "m:m e:e g:g :[/Prev]"}]		[/Prev]	conn	2	1	1
valaki	" "	.	[{"lemma": "valaki", "tag": "[/N|Pro][Nom]", "morphana": "valaki[/N|Pro]=valaki+[Nom]=", "readable": "valaki[/N|Pro] + [Nom]", "twolevel": "v:v a:a l:l a:a k:k i:i :[/N|Pro] :[Nom]"}]	valaki	[/N|Pro][Nom]			.	.
pacifista	" "	.	[{"lemma": "pacifista", "tag": "[/Adj][Nom]", "morphana": "pacifista[/Adj]=pacifista+[Nom]=", "readable": "pacifista[/Adj] + [Nom]", "twolevel": "p:p a:a c:c i:i f:f i:i s:s t:t a:a :[/Adj] :[Nom]"}]	pacifista	[/Adj][Nom]			.	.
asztaltársaink	" "	.	[{"lemma": "asztaltárs", "tag": "[/N][Pl.Poss.1Pl][Nom]", "morphana": "asztal[/N]=asztal+társ[/N]=társ+aink[Pl.Poss.1Pl]=aink+[Nom]=", "readable": "asztal[/N] + társ[/N] + aink[Pl.Poss.1Pl] + [Nom]", "twolevel": "a:a s:s z:z t:t a:a l:l :[/N] t:t á:á r:r s:s :[/N] a:a i:i n:n k:k :[Pl.Poss.1Pl] :[Nom]"}, {"lemma": "asztaltárs", "tag": "[/N][Pl.Poss.1Pl][Nom]", "morphana": "asztaltárs[/N]=asztaltárs+aink[Pl.Poss.1Pl]=aink+[Nom]=", "readable": "asztaltárs[/N] + aink[Pl.Poss.1Pl] + [Nom]", "twolevel": "a:a s:s z:z t:t a:a l:l t:t á:á r:r s:s :[/N] a:a i:i n:n k:k :[Pl.Poss.1Pl] :[Nom]"}]	asztaltárs	[/N][Pl.Poss.1Pl][Nom]			.	.
közül	""	.	[{"lemma": "köz", "tag": "[/N][Ess]", "morphana": "köz[/N]=köz+ül[Ess]=ül", "readable": "köz[/N] + ül[Ess]", "twolevel": "k:k ö:ö z:z :[/N] ü:ü l:l :[Ess]"}, {"lemma": "közül", "tag": "[/Post]", "morphana": "közül[/Post]=közül", "readable": "közül[/Post]", "twolevel": "k:k ö:ö z:z ü:ü l:l :[/Post]"}]	közül	[/Post]			.	.
:	" "	.	[{"lemma": ":", "tag": "[Punct]", "morphana": "", "readable": "", "twolevel": ""}]	:	[Punct]			.	.
hogyan	" "	.	[{"lemma": "ahogyan", "tag": "[/Adv|Pro|Rel]", "morphana": "ahogyan[/Adv|Pro|Rel]=hogyan", "readable": "ahogyan[/Adv|Pro|Rel]=hogyan", "twolevel": "h:a o:h g:o y:g a:y n:a :n :[/Adv|Pro|Rel]"}, {"lemma": "hogyan", "tag": "[/Adv|Pro|Int]", "morphana": "hogyan[/Adv|Pro|Int]=hogyan", "readable": "hogyan[/Adv|Pro|Int]", "twolevel": "h:h o:o g:g y:y a:a n:n :[/Adv|Pro|Int]"}]	hogyan	[/Adv|Pro|Int]			.	.
lehetne	" "	.	[{"lemma": "lesz", "tag": "[/V][_Mod/V][Cond.NDef.3Sg]", "morphana": "lesz[/V]=le+het[_Mod/V]=het+ne[Cond.NDef.3Sg]=ne", "readable": "lesz[/V]=le + het[_Mod/V] + ne[Cond.NDef.3Sg]", "twolevel": "l:l e:e :s :z :[/V] h:h e:e t:t :[_Mod/V] n:n e:e :[Cond.NDef.3Sg]"}, {"lemma": "van", "tag": "[/V][_Mod/V][Cond.NDef.3Sg]", "morphana": "van[/V]=le+het[_Mod/V]=het+ne[Cond.NDef.3Sg]=ne", "readable": "van[/V]=le + het[_Mod/V] + ne[Cond.NDef.3Sg]", "twolevel": "l:v e:a :n :[/V] h:h e:e t:t :[_Mod/V] n:n e:e :[Cond.NDef.3Sg]"}]	van	[/V][_Mod/V][Cond.NDef.3Sg]			.	.
tárgyalni	""	.	[{"lemma": "tárgyal", "tag": "[/V][Inf]", "morphana": "tárgyal[/V]=tárgyal+ni[Inf]=ni", "readable": "tárgyal[/V] + ni[Inf]", "twolevel": "t:t á:á r:r g:g y:y a:a l:l :[/V] n:n i:i :[Inf]"}]	tárgyal	[/V][Inf]			.	.
,	" "	.	[{"lemma": ",", "tag": "[Punct]", "morphana": "", "readable": "", "twolevel": ""}]	,	[Punct]			.	.
kivel	" "	.	[{"lemma": "aki", "tag": "[/N|Pro|Rel][Ins]", "morphana": "aki[/N|Pro|Rel]=ki+vel[Ins]=vel", "readable": "aki[/N|Pro|Rel]=ki + vel[Ins]", "twolevel": "k:a i:k :i :[/N|Pro|Rel] v:v e:e l:l :[Ins]"}, {"lemma": "ki", "tag": "[/N|Pro][Ins]", "morphana": "ki[/N|Pro]=ki+vel[Ins]=vel", "readable": "ki[/N|Pro] + vel[Ins]", "twolevel": "k:k i:i :[/N|Pro] v:v e:e l:l :[Ins]"}, {"lemma": "ki", "tag": "[/N|Pro|Int][Ins]", "morphana": "ki[/N|Pro|Int]=ki+vel[Ins]=vel", "readable": "ki[/N|Pro|Int] + vel[Ins]", "twolevel": "k:k i:i :[/N|Pro|Int] v:v e:e l:l :[Ins]"}]	ki	[/N|Pro|Int][Ins]			.	.
lehetne	" "	.	[{"lemma": "lesz", "tag": "[/V][_Mod/V][Cond.NDef.3Sg]", "morphana": "lesz[/V]=le+het[_Mod/V]=het+ne[Cond.NDef.3Sg]=ne", "readable": "lesz[/V]=le + het[_Mod/V] + ne[Cond.NDef.3Sg]", "twolevel": "l:l e:e :s :z :[/V] h:h e:e t:t :[_Mod/V] n:n e:e :[Cond.NDef.3Sg]"}, {"lemma": "van", "tag": "[/V][_Mod/V][Cond.NDef.3Sg]", "morphana": "van[/V]=le+het[_Mod/V]=het+ne[Cond.NDef.3Sg]=ne", "readable": "van[/V]=le + het[_Mod/V] + ne[Cond.NDef.3Sg]", "twolevel": "l:v e:a :n :[/V] h:h e:e t:t :[_Mod/V] n:n e:e :[Cond.NDef.3Sg]"}]	van	[/V][_Mod/V][Cond.NDef.3Sg]			.	.
és	" "	.	[{"lemma": "és", "tag": "[/Cnj]", "morphana": "és[/Cnj]=és", "readable": "és[/Cnj]", "twolevel": "é:é s:s :[/Cnj]"}]	és	[/Cnj]			.	.
miről	""	.	[{"lemma": "ami", "tag": "[/N|Pro|Rel][Del]", "morphana": "ami[/N|Pro|Rel]=mi+ről[Del]=ről", "readable": "ami[/N|Pro|Rel]=mi + ről[Del]", "twolevel": "m:a i:m :i :[/N|Pro|Rel] r:r ő:ő l:l :[Del]"}, {"lemma": "mi", "tag": "[/Adj|Pro|Int][Del]", "morphana": "mi[/Adj|Pro|Int]=mi+ről[Del]=ről", "readable": "mi[/Adj|Pro|Int] + ről[Del]", "twolevel": "m:m i:i :[/Adj|Pro|Int] r:r ő:ő l:l :[Del]"}, {"lemma": "mi", "tag": "[/N|Pro|Int][Del]", "morphana": "mi[/N|Pro|Int]=mi+ről[Del]=ről", "readable": "mi[/N|Pro|Int] + ről[Del]", "twolevel": "m:m i:i :[/N|Pro|Int] r:r ő:ő l:l :[Del]"}]	mi	[/N|Pro|Int][Del]			.	.
?	"\n"	.	[{"lemma": "?", "tag": "[Punct]", "morphana": "", "readable": "", "twolevel": ""}]	?	[Punct]			.	.

Gondolhatod	" "	.	[{"lemma": "gondol", "tag": "[/V][_Mod/V][Prs.Def.2Sg]", "morphana": "gondol[/V]=gondol+hat[_Mod/V]=hat+od[Prs.Def.2Sg]=od", "readable": "gondol[/V] + hat[_Mod/V] + od[Prs.Def.2Sg]", "twolevel": "g:g o:o n:n d:d o:o l:l :[/V] h:h a:a t:t :[_Mod/V] o:o d:d :[Prs.Def.2Sg]"}]	gondol	[/V][_Mod/V][Prs.Def.2Sg]			.	.
milyen	" "	.	[{"lemma": "amilyen", "tag": "[/Adj|Pro|Rel][Nom]", "morphana": "amilyen[/Adj|Pro|Rel]=milyen+[Nom]=", "readable": "amilyen[/Adj|Pro|Rel]=milyen + [Nom]", "twolevel": "m:a i:m l:i y:l e:y n:e :n :[/Adj|Pro|Rel] :[Nom]"}, {"lemma": "milyen", "tag": "[/Adj|Pro|Int][Nom]", "morphana": "milyen[/Adj|Pro|Int]=milyen+[Nom]=", "readable": "milyen[/Adj|Pro|Int] + [Nom]", "twolevel": "m:m i:i l:l y:y e:e n:n :[/Adj|Pro|Int] :[Nom]"}]	milyen	[/Adj|Pro|Int][Nom]			.	.
felháborodást	" "	.	[{"lemma": "felháborodás", "tag": "[/N][Acc]", "morphana": "fel[/Prev]=fel+háborodik[/V]=háborod+ás[_Ger/N]=ás+t[Acc]=t", "readable": "fel[/Prev] + háborodik[/V]=háborod + ás[_Ger/N] + t[Acc]", "twolevel": "f:f e:e l:l :[/Prev] h:h á:á b:b o:o r:r o:o d:d :i :k :[/V] á:á s:s :[_Ger/N] t:t :[Acc]"}, {"lemma": "felháborodás", "tag": "[/N][Acc]", "morphana": "felháborodás[/N]=felháborodás+t[Acc]=t", "readable": "felháborodás[/N] + t[Acc]", "twolevel": "f:f e:e l:l h:h á:á b:b o:o r:r o:o d:d á:á s:s :[/N] t:t :[Acc]"}]	felháborodás	[/N][Acc]			.	.
váltott	" "	v3	[{"lemma": "vált", "tag": "[/V][Pst.NDef.3Sg]", "morphana": "vált[/V]=vált+ott[Pst.NDef.3Sg]=ott", "readable": "vált[/V] + ott[Pst.NDef.3Sg]", "twolevel": "v:v á:á l:l t:t :[/V] o:o t:t t:t :[Pst.NDef.3Sg]"}, {"lemma": "váltott", "tag": "[/Adj][Nom]", "morphana": "vált[/V]=vált+ott[_PerfPtcp/Adj]=ott+[Nom]=", "readable": "vált[/V] + ott[_PerfPtcp/Adj] + [Nom]", "twolevel": "v:v á:á l:l t:t :[/V] o:o t:t t:t :[_PerfPtcp/Adj] :[Nom]"}, {"lemma": "váltott", "tag": "[/Adj|Attr][Nom]", "morphana": "váltott[/Adj|Attr]=váltott+[Nom]=", "readable": "váltott[/Adj|Attr] + [Nom]", "twolevel": "v:v á:á l:l t:t o:o t:t t:t :[/Adj|Attr] :[Nom]"}]	kivált	[/Prev][/V][Pst.NDef.3Sg]	sep	3	2	2
ez	" "	.	[{"lemma": "ez", "tag": "[/Det|Pro][Nom]", "morphana": "ez[/Det|Pro]=ez+[Nom]=", "readable": "ez[/Det|Pro] + [Nom]", "twolevel": "e:e z:z :[/Det|Pro] :[Nom]"}, {"lemma": "ez", "tag": "[/N|Pro][Nom]", "morphana": "ez[/N|Pro]=ez+[Nom]=", "readable": "ez[/N|Pro] + [Nom]", "twolevel": "e:e z:z :[/N|Pro] :[Nom]"}]	ez	[/Det|Pro][Nom]			.	.
ki	" "	p3	[{"lemma": "aki", "tag": "[/N|Pro|Rel][Nom]", "morphana": "aki[/N|Pro|Rel]=ki+[Nom]=", "readable": "aki[/N|Pro|Rel]=ki + [Nom]", "twolevel": "k:a i:k :i :[/N|Pro|Rel] :[Nom]"}, {"lemma": "ki", "tag": "[/N|Pro][Nom]", "morphana": "ki[/N|Pro]=ki+[Nom]=", "readable": "ki[/N|Pro] + [Nom]", "twolevel": "k:k i:i :[/N|Pro] :[Nom]"}, {"lemma": "ki", "tag": "[/N|Pro|Int][Nom]", "morphana": "ki[/N|Pro|Int]=ki+[Nom]=", "readable": "ki[/N|Pro|Int] + [Nom]", "twolevel": "k:k i:i :[/N|Pro|Int] :[Nom]"}, {"lemma": "ki", "tag": "[/Prev]", "morphana": "ki[/Prev]=ki", "readable": "ki[/Prev]", "twolevel": "k:k i:i :[/Prev]"}]		[/Prev]	conn	3	2	2
.	"\n"	.	[{"lemma": ".", "tag": "[Punct]", "morphana": "", "readable": "", "twolevel": ""}]	.	[Punct]			.	.

Úgy	" "	.	[{"lemma": "úgy", "tag": "[/Adv|Pro]", "morphana": "úgy[/Adv|Pro]=úgy", "readable": "úgy[/Adv|Pro]", "twolevel": "ú:ú g:g y:y :[/Adv|Pro]"}, {"lemma": "úgy", "tag": "[/Inj-Utt]", "morphana": "úgy[/Inj-Utt]=úgy", "readable": "úgy[/Inj-Utt]", "twolevel": "ú:ú g:g y:y :[/Inj-Utt]"}]	úgy	[/Adv|Pro]			.	.
látom	" "	.	[{"lemma": "lát", "tag": "[/V][Prs.Def.1Sg]", "morphana": "lát[/V]=lát+om[Prs.Def.1Sg]=om", "readable": "lát[/V] + om[Prs.Def.1Sg]", "twolevel": "l:l á:á t:t :[/V] o:o m:m :[Prs.Def.1Sg]"}]	lát	[/V][Prs.Def.1Sg]			.	.
rettenetesen	" "	.	[{"lemma": "rettenetes", "tag": "[/Adj][Supe]", "morphana": "rettenet[/N]=rettenet+es[_Adjz:s/Adj]=es+en[Supe]=en", "readable": "rettenet[/N] + es[_Adjz:s/Adj] + en[Supe]", "twolevel": "r:r e:e t:t t:t e:e n:n e:e t:t :[/N] e:e s:s :[_Adjz:s/Adj] e:e n:n :[Supe]"}, {"lemma": "rettenetes", "tag": "[/Adj][_Manner/Adv]", "morphana": "rettenet[/N]=rettenet+es[_Adjz:s/Adj]=es+en[_Manner/Adv]=en", "readable": "rettenet[/N] + es[_Adjz:s/Adj] + en[_Manner/Adv]", "twolevel": "r:r e:e t:t t:t e:e n:n e:e t:t :[/N] e:e s:s :[_Adjz:s/Adj] e:e n:n :[_Manner/Adv]"}, {"lemma": "rettenetes", "tag": "[/N][Supe]", "morphana": "rettenet[/N]=rettenet+es[_Nz:s/N]=es+en[Supe]=en", "readable": "rettenet[/N] + es[_Nz:s/N] + en[Supe]", "twolevel": "r:r e:e t:t t:t e:e n:n e:e t:t :[/N] e:e s:s :[_Nz:s/N] e:e n:n :[Supe]"}, {"lemma": "rettenetes", "tag": "[/Adj][Supe]", "morphana": "rettenetes[/Adj]=rettenetes+en[Supe]=en", "readable": "rettenetes[/Adj] + en[Supe]", "twolevel": "r:r e:e t:t t:t e:e n:n e:e t:t e:e s:s :[/Adj] e:e n:n :[Supe]"}, {"lemma": "rettenetes", "tag": "[/Adj][_Manner/Adv]", "morphana": "rettenetes[/Adj]=rettenetes+en[_Manner/Adv]=en", "readable": "rettenetes[/Adj] + en[_Manner/Adv]", "twolevel": "r:r e:e t:t t:t e:e n:n e:e t:t e:e s:s :[/Adj] e:e n:n :[_Manner/Adv]"}]	rettenetes	[/Adj][_Manner/Adv]			.	.
jó	" "	.	[{"lemma": "jó", "tag": "[/Adj][Nom]", "morphana": "jó[/Adj]=jó+[Nom]=", "readable": "jó[/Adj] + [Nom]", "twolevel": "j:j ó:ó :[/Adj] :[Nom]"}, {"lemma": "jó", "tag": "[/Adv]", "morphana": "jó[/Adv]=jó", "readable": "jó[/Adv]", "twolevel": "j:j ó:ó :[/Adv]"}, {"lemma": "jó", "tag": "[/Inj-Utt]", "morphana": "jó[/Inj-Utt]=jó", "readable": "jó[/Inj-Utt]", "twolevel": "j:j ó:ó :[/Inj-Utt]"}]	jó	[/Adj][Nom]			.	.
buli	" "	.	[{"lemma": "buli", "tag": "[/N][Nom]", "morphana": "buli[/N]=buli+[Nom]=", "readable": "buli[/N] + [Nom]", "twolevel": "b:b u:u l:l i:i :[/N] :[Nom]"}]	buli	[/N][Nom]			.	.
lesz.	""	.	[{"lemma": "lesz", "tag": "[/V][Prs.NDef.3Sg][Punct]", "morphana": "lesz[/V]=lesz+[Prs.NDef.3Sg]=+period[Punct]=.", "readable": "lesz[/V] + [Prs.NDef.3Sg] + period[Punct]=.", "twolevel": "l:l e:e s:s z:z :[/V] :[Prs.NDef.3Sg] .:p :e :r :i :o :d :[Punct]"}]	lesz	[/V][Prs.NDef.3Sg][Punct]			.	.
:)))	" "	.	[]	:)))	[Punct]			.	.
